Soma_Surface,N_stems,N_bifs,N_branch,N_tips,Width,Height,Depth,Diameter,Length,Surface,Volume,EucDistance,PathDistance,Branch_Order,Branch_pathlength,Contraction,Fragmentation,Partition_asymmetry,Pk_classic,Bif_ampl_local,Bif_ampl_remote,Bif_tilt_local,Bif_tilt_remote,Bif_torque_local,Bif_torque_remote,Helix,Fractal_Dim,Branch_pathlength_terminal,Contraction_terminal,Branch_pathlength_internal,Contraction_internal
,,1,1,1,404.1,810.1,313.33,3.304,3.4734,36.0533,29.78,125.609,154.387,1,318.37,0.89895,70,0,2.04962,121.234,106.379,118.185,110.937,21.569,7.16957,-0.01,1.00333,220.32,0.899395,62.76,0.920688
,,1,1,1,404.1,810.1,313.33,3.386,3.41063,36.2804,30.7113,128.695,157.798,1,100.25,0.965159,11,1,2.00172,103.102,68.656,128.11,101.598,130.082,124.543,0,1.00441,16.31,0.994868,59.7,0.909436
,,1,1,1,404.1,810.1,313.33,3.314,3.739,38.9276,32.2515,132.363,161.537,1,155.63,0.830657,29,1,1.89365,127.966,97.9182,81.3303,127.243,45.6011,48.5657,0,1.00277,62.41,0.946195,9.11,0.95473
,,1,1,1,404.1,810.1,313.33,3.414,3.92377,42.084,35.9187,136.179,165.461,1,106.75,0.976954,21,0,2.01538,102.227,54.7503,125.582,140.629,81.3732,49.2162,0,1.00604,65.91,0.940241,72.94,0.936443
,,,1,1,404.1,810.1,313.33,3.718,4.43821,51.8402,48.1855,140.295,169.899,1,170.01,0.978734,30,,,,,,,,,0,1.00169,12.24,0.995625,,
,,,1,1,404.1,810.1,313.33,3.878,5.14576,62.6912,60.7792,144.842,175.045,1,30.38,0.978323,6,,,,,,,,,0.02,1.00497,96.69,0.863978,,
,,,1,1,404.1,810.1,313.33,3.884,4.08698,49.8691,48.4229,148.876,179.132,1,87.6,0.975033,19,,,,,,,,,0,1.00239,59.7,0.916949,,
,,,1,1,404.1,810.1,313.33,3.974,3.42148,42.7161,42.4384,151.906,182.553,1,24.99,0.992576,4,,,,,,,,,0,1.0314,14.54,0.890626,,
,,,1,1,404.1,810.1,313.33,4.086,3.57946,45.9478,46.9357,154.638,186.133,1,46.67,0.984872,9,,,,,,,,,0,1.00587,209.32,0.872011,,
,,,1,1,404.1,810.1,313.33,4.072,3.36065,42.9914,43.7652,157.662,189.493,1,20.9,0.988224,4,,,,,,,,,0,1.00984,137.14,0.951828,,
,,,1,1,404.1,810.1,313.33,3.882,3.35085,40.8658,39.6603,160.814,192.844,1,1.55,1,1,,,,,,,,,0,1.00436,17.27,0.97706,,
,,,1,1,404.1,810.1,313.33,3.466,3.6563,39.8125,34.4976,164.209,196.5,1,41.77,0.843477,11,,,,,,,,,-0.03,1.00138,125.24,0.944373,,
,,,1,1,404.1,810.1,313.33,3.34,3.57239,37.4848,31.2998,166.41,200.073,2,10.42,0.992205,3,,,,,,,,,0,1.01785,59.09,0.938986,,
,,,1,1,404.1,810.1,313.33,3.258,2.21572,22.6785,18.4717,168.301,202.288,2,26.64,0.968153,7,,,,,,,,,0,1.00463,167.72,0.842454,,
,,,1,1,404.1,810.1,313.33,3.132,3.43321,33.7809,26.4505,171.659,205.722,2,14.96,0.964014,5,,,,,,,,,0,1.01162,3.7,1,,
,,,1,1,404.1,810.1,313.33,3.098,4.01801,39.1059,30.2875,175.003,209.74,2,29.62,0.973669,7,,,,,,,,,0,1.00946,19.62,0.992308,,
,,,1,,404.1,810.1,313.33,3.15,5.27371,52.1887,41.0986,178.866,215.013,2,10.62,0.997054,4,,,,,,,,,0,1.0145,,,,
,,,1,,404.1,810.1,313.33,3.23,4.53613,46.0297,37.169,182.602,219.549,2,123.16,0.906414,26,,,,,,,,,0,1.00028,,,,
,,,1,,404.1,810.1,313.33,3.262,3.35163,34.347,28.01,185.812,222.901,2,3.03,1,1,,,,,,,,,0,1.02529,,,,
,,,1,,404.1,810.1,313.33,3.218,3.1625,31.9717,25.7213,188.97,226.064,2,38.05,0.961936,9,,,,,,,,,0,1.02366,,,,
,,,1,,404.1,810.1,313.33,3.2,3.53214,35.5089,28.4071,192.4,229.596,2,67.09,0.936453,16,,,,,,,,,0,1.02491,,,,
,,,1,,404.1,810.1,313.33,3.202,4.47697,45.0356,36.051,196.255,234.073,2,189.13,0.947956,42,,,,,,,,,0,1.00257,,,,
